track_name,artists,track_id
This Is Not America - 2002 Remaster,"['David Bowie', 'Pat Metheny Group']",3Tc5BaETZ8E6p1xlSNotzt
Peter Gunn Theme,"['Emerson', 'Lake & Palmer']",3ljoq4XJvUqWzffcudGYXn
Save a Prayer - 2009 Remaster,['Duran Duran'],1ff8lsrJ2kuZuofMw81EQo
The Promise You Made,['Cock Robin'],01m6wYrCrH6lgH0JAJpkK5
Don't Stop 'Til You Get Enough,['Michael Jackson'],46eu3SBuFCXWsPT39Yg3tJ
Love Is A Battlefield,['Pat Benatar'],0viZ7D81W8pD65TkzaFkXT
Lessons In Love,['Level 42'],3EGI5qmVmGlfgy9BmNb1R8
Fireflies,['Owl City'],3DamFFqW32WihKkTVlwTYQ
Water Under the Bridge,['Adele'],2DRMuw0U0QbkVQxWxdJV3M
I Feel It Coming,"['The Weeknd', 'Daft Punk']",3dhjNA0jGA8vHBQ1VdD6vV
Stars,['Simply Red'],75CgD6l7K4qMzZrn4CbZqz
Sausolito Summernight,['Diesel'],66uzt7aO6zIxALXp79C2Vz
In Your Eyes,['The Weeknd'],7szuecWAPwGoV1e5vGu8tl
What a Fool Believes,['The Doobie Brothers'],2yBVeksU2EtrPJbTu4ZslK
Dancing with Tears in My Eyes,['Ultravox'],3or3oEITvJmMwZRYeWSaen
All Night Long (All Night),['Lionel Richie'],1DxT6f6mH7kLriOUWbujup
Head Over Heels,['Tears For Fears'],748yv6bb3l3CcKS45a6SZ8
Do It Again,['Steely Dan'],2LXISHBkx8FyoxCBkckh19
Gypsy,['Fleetwood Mac'],19Ym5Sg0YyOCa6ao21bdoG
That Was Yesterday,['Foreigner'],4nwUQZbmWMkYzKrXgWRIEw
Something Happened on the Way to Heaven - 2016 Remaster,['Phil Collins'],4ziqqoW1o3P5EhNqK6CPb1
Mad World,['Tears For Fears'],0Qv7xi6uPSqH2k82tOkGSt
Thank U,['Alanis Morissette'],3CVDronuSnhguSUguPoseM
Is This Love,['Whitesnake'],78FzQfooQzB43sGzlpI2At
Formidable,['Stromae'],2AMysGXOe0zzZJMtH3Nizb
Damn Those Eyes,['Kane'],1flJwFi1EyRrJ7bzBQ1ySw
Take Me Home - 2016 Remaster,['Phil Collins'],2s6wCS3vDZFPY9NOTlPXJZ
Steppin' Out,['Joe Jackson'],1qaS4rwkm52lpkDZVmvF52
Fly Like An Eagle,['Steve Miller Band'],3e0FzZjTXOUtiJGSClOBrI
Too Funky - Remastered 2006,['George Michael'],42oNny7A4CqwQzmCLTRXv9
Come Undone,['Robbie Williams'],6mZCiuIXcA12syIS23Dyxa
While You See A Chance,['Steve Winwood'],4JAFyW6oZV6DIADeV619QG
Valerie,['Steve Winwood'],3aAuIvgJGdp4wWd60riWfB
Turn It On Again - Remastered 2007,['Genesis'],3KeVHx19HwWzDGemwEOVoA
I Keep Forgettin' (Every Time You're Near),['Michael McDonald'],5GvWrvLIqoHroq7YvO260M
Love Games - Level Best Remix,['Level 42'],3AtRLBfjTrY3P1MkDQ6Kst
Double Face,['Deodato'],2iMsg6BFhmOvJHoDn4y495
Bring It On,['Seal'],1asNOuJYZ5sKxHa4WM5mNi
Better Things,['Massive Attack'],0OJcD2Tguzc0OFeM1e4YMk
Outside,['George Michael'],6CTM0aon2TESJvdeacsqh9
Unfinished Sympathy - 2012 Mix/Master,['Massive Attack'],0j5FJJOmmnXPd0XajFWkMF
Something About You,['Level 42'],4fE3Pyz3Jfu7LL5NUB1iMl
Superstition - Single Version,['Stevie Wonder'],1h2xVEoJORqrg71HocgqXd
Alors on danse - Radio Edit,['Stromae'],2GYHyAoLWpkxLVa4oYTVko
Let's Dance - 2018 Remaster,['David Bowie'],3ix6K4wZY29bCujrSznwFZ
Stayin' Alive,['Bee Gees'],4UDmDIqJIbrW0hMBQMFOsM
This Is What It Feels Like,"['Armin van Buuren', 'Trevor Guthrie']",5GjnIpUlLGEIYk052ISOw9
Papaoutai,['Stromae'],34dx8DACTJsc3rsJdaEIQw
Cosmic Girl - Remastered,['Jamiroquai'],6y0Etr2KJr0sdcEp7ajoUK
God Is a DJ,['Faithless'],1pUFYb9peWkK8m1WCKNRjp
A Sky Full of Stars,['Coldplay'],0FDzzruyVECATHXKHFs9eJ
"Fastlove, Pt. 1",['George Michael'],6SaeXxdt0Id6ZzmX0ZGTQK
Gold,['Prince'],68XDZSuCJdT8ld3W48F4Fk
Every Teardrop Is a Waterfall,['Coldplay'],2U8g9wVcUu9wsg6i7sFSv8
Amazing,['George Michael'],0hsrqeudoR9Kymm7RNiVoq
Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']",32OlwWuMpZ6b0aN2RZOeMS
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],6JV2JOEocMgcZxYSZelKcc
Sunrise,['Simply Red'],37mk7t1x4VmKmmqgRU8E2w
Good Times,['CHIC'],0G3fbPbE1vGeABDEZF0jeG
Rock DJ,['Robbie Williams'],4pbyDPjFgfPqFTcIMC8xpK
Something Got Me Started - 2008 Remaster,['Simply Red'],0DJnqFhVWoTDs58JPem5Zh
September,"['Earth, Wind & Fire']",2grjqo0Frpf2okIBiifQKs
Fantasy,"['Earth, Wind & Fire']",2GH5jo15wbTv1Ll7zXEzSg
Adventure of a Lifetime,['Coldplay'],69uxyAqqPIsUyTO8txoP2M
Animals,['Martin Garrix'],1TWfkGrhF7ob0nwB2M6knb
We Come 1 - Radio Edit,['Faithless'],7reoZz80hQYuWtEn0Lsd0p
24K Magic,['Bruno Mars'],6b8Be6ljOzmkOmFslEb23P
Disco Inferno - Edit,['The Trammps'],3GXo1eWlT2flv4x01l5OTu
The Way You Make Me Feel - 2012 Remaster,['Michael Jackson'],0sKlV58cODrjxGFOyf9IXY
Sunny Days,"['Armin van Buuren', 'Josh Cumbee']",6RrUUleT9JI0KQHZYBdJMB
Vogue,['Madonna'],27QvYgBk0CHOVHthWnkuWt
Heaven,['Avicii'],0vrmHPfoBadXVr2n0m1aqZ
I Gotta Feeling,['Black Eyed Peas'],4kLLWz7srcuLKA7Et40PQR
Get Lucky (feat. Pharrell Williams and Nile Rodgers),"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",69kOkLUCkxIZYexIgSG8rq
Giant (with Rag'n'Bone Man),"['Calvin Harris', ""Rag'n'Bone Man""]",5itOtNx0WxtJmi1TQ3RuRd
Multicolor,['Son Mieux'],2ExdbieQffMXpY7ygN2YN9
Sensation,['Bryan Ferry'],0ee17zSyavobNFxm7Ds9FY
